simple,538 pts
"[0.13606155 0.13606155 0.13606155 0.13606155 0.13606155 0.13606155
 0.13606155 0.13606155 0.50693595 0.46984851 0.43950424 0.41421735
 0.39282075 0.37448081 0.35858619 0.3446784 ]","[21.59846126 21.59846126 21.59846126 21.59846126 21.59846126 21.59846126
 21.59846126 21.59846126 12.32660115 13.25378716 14.0123939  14.64456618
 15.17948119 15.63797976 16.0353452  16.38303995]"
"[0.13606155 0.13606155 0.13606155 0.13606155 0.13606155 0.13606155
 0.13606155 0.13606155 0.50693595 0.46984851 0.43950424 0.41421735
 0.39282075 0.37448081 0.35858619 0.55329525]","[21.59846126 21.59846126 21.59846126 21.59846126 21.59846126 21.59846126
 21.59846126 21.59846126 12.32660115 13.25378716 14.0123939  14.64456618
 15.17948119 15.63797976 16.0353452  11.16761864]"
"[0.13606155 0.13606155 0.13606155 0.13606155 0.13606155 0.13606155
 0.13606155 0.13606155 0.13606155 0.13606155 0.13606155 0.13606155
 0.13606155 0.13606155 0.13606155 0.13606155]","[21.59846126 21.59846126 21.59846126 21.59846126 21.59846126 21.59846126
 21.59846126 21.59846126 21.59846126 21.59846126 21.59846126 21.59846126
 21.59846126 21.59846126 21.59846126 21.59846126]"
"[0.13606155 0.13606155 1.24868476 0.97052896 0.80363548 0.69237316
 0.61290007 0.55329525 0.87781036 0.80363548 0.74294694 0.69237316
 0.64957996 0.61290007 0.58111083 0.55329525]","[21.59846126 21.59846126 -6.21711906  0.73677602  4.90911307  7.6906711
  9.67749827 11.16761864  3.05474105  4.90911307  6.42632654  7.6906711
  8.76050111  9.67749827 10.47222913 11.16761864]"
"[0.13606155 0.13606155 0.13606155 0.13606155 0.13606155 0.13606155
 0.13606155 0.13606155 0.13606155 0.13606155 0.13606155 0.13606155
 0.13606155 0.37448081 0.35858619 0.3446784 ]","[21.59846126 21.59846126 21.59846126 21.59846126 21.59846126 21.59846126
 21.59846126 21.59846126 21.59846126 21.59846126 21.59846126 21.59846126
 21.59846126 15.63797976 16.0353452  16.38303995]"
"[0.13606155 0.13606155 0.13606155 0.13606155 0.13606155 0.69237316
 0.61290007 0.97052896 0.87781036 0.80363548 0.74294694 0.69237316
 0.64957996 0.61290007 0.58111083 0.55329525]","[21.59846126 21.59846126 21.59846126 21.59846126 21.59846126  7.6906711
  9.67749827  0.73677602  3.05474105  4.90911307  6.42632654  7.6906711
  8.76050111  9.67749827 10.47222913 11.16761864]"
"[0.13606155 0.13606155 1.24868476 0.97052896 0.80363548 0.69237316
 0.61290007 0.55329525 0.50693595 0.46984851 0.43950424 0.41421735
 0.39282075 0.37448081 0.35858619 0.3446784 ]","[21.59846126 21.59846126 -6.21711906  0.73677602  4.90911307  7.6906711
  9.67749827 11.16761864 12.32660115 13.25378716 14.0123939  14.64456618
 15.17948119 15.63797976 16.0353452  16.38303995]"
"[0.13606155 0.13606155 0.13606155 0.13606155 0.13606155 0.13606155
 0.13606155 0.13606155 0.13606155 0.13606155 0.43950424 0.41421735
 0.39282075 0.37448081 0.35858619 0.3446784 ]","[21.59846126 21.59846126 21.59846126 21.59846126 21.59846126 21.59846126
 21.59846126 21.59846126 21.59846126 21.59846126 14.0123939  14.64456618
 15.17948119 15.63797976 16.0353452  16.38303995]"
"[0.13606155 0.13606155 0.13606155 0.13606155 0.13606155 0.13606155
 0.13606155 0.13606155 0.13606155 0.13606155 0.43950424 0.41421735
 0.39282075 0.37448081 0.35858619 0.3446784 ]","[21.59846126 21.59846126 21.59846126 21.59846126 21.59846126 21.59846126
 21.59846126 21.59846126 21.59846126 21.59846126 14.0123939  14.64456618
 15.17948119 15.63797976 16.0353452  16.38303995]"
"[0.13606155 0.13606155 0.13606155 0.13606155 0.13606155 0.13606155
 0.61290007 0.97052896 0.87781036 0.80363548 0.74294694 0.69237316
 0.64957996 0.61290007 0.58111083 0.55329525]","[21.59846126 21.59846126 21.59846126 21.59846126 21.59846126 21.59846126
  9.67749827  0.73677602  3.05474105  4.90911307  6.42632654  7.6906711
  8.76050111  9.67749827 10.47222913 11.16761864]"
