simple,538 pts
"[0.15200309 0.15200309 0.15200309 0.15200309 0.15200309 0.15200309
 0.15200309 0.15200309 0.15200309 0.15200309 0.15200309 0.15200309
 0.15200309 0.15200309 0.36333143 0.35012341 0.33846927 0.32811004
 0.31884125 0.31049934 0.3029519  0.29609059 0.28982592 0.2840833
 0.27880009 0.27392329 0.26940772 0.2652147  0.26131085 0.25766726
 0.35651438 0.35012341 0.34411976 0.33846927 0.33314166 0.32811004
 0.32335039 0.31884125 0.31456335 0.31049934]","[21.19992266 21.19992266 21.19992266 21.19992266 21.19992266 21.19992266
 21.19992266 21.19992266 21.19992266 21.19992266 21.19992266 21.19992266
 21.19992266 21.19992266 15.91671433 16.24691485 16.53826825 16.79724905
 17.02896871 17.23751641 17.42620242 17.59773516 17.75435201 17.89791745
 18.02999766 18.15191785 18.26480692 18.36963248 18.4672287  18.5583185
 16.0871404  16.24691485 16.397006   16.53826825 16.67145838 16.79724905
 16.91624023 17.02896871 17.13591625 17.23751641]"
"[0.15200309 0.15200309 0.15200309 0.15200309 0.15200309 0.15200309
 0.15200309 0.15200309 0.50421698 0.46899559 0.44017809 0.41616351
 0.39584348 0.60484952 0.57465976 0.54824372 0.52493545 0.50421698
 0.48567941 0.46899559 0.45390071 0.44017809 0.42764875 0.41616351
 0.40559709 0.39584348 0.50421698 0.49163792 0.47992637 0.46899559
 0.56102567 0.54824372 0.53623643 0.52493545 0.51428024 0.50421698
 0.49469769 0.48567941 0.47712361 0.46899559]","[21.19992266 21.19992266 21.19992266 21.19992266 21.19992266 21.19992266
 21.19992266 21.19992266 12.39457544 13.27511016 13.99554766 14.59591224
 15.10391305  9.87876194 10.63350599 11.29390703 11.87661384 12.39457544
 12.85801477 13.27511016 13.65248218 13.99554766 14.30878136 14.59591224
 14.86007266 15.10391305 12.39457544 12.70905212 13.00184076 13.27511016
 10.97435814 11.29390703 11.59408933 11.87661384 12.14299409 12.39457544
 12.6325578  12.85801477 13.07190984 13.27511016]"
"[0.15200309 0.15200309 0.15200309 0.15200309 0.15200309 0.15200309
 0.15200309 0.15200309 0.15200309 0.15200309 0.44017809 0.41616351
 0.39584348 0.37842631 0.36333143 0.35012341 0.33846927 0.32811004
 0.31884125 0.31049934 0.3029519  0.29609059 0.28982592 0.2840833
 0.27880009 0.27392329 0.26940772 0.2652147  0.26131085 0.25766726
 0.25425874 0.25106325 0.24806143 0.24523618 0.24257238 0.24005657
 0.23767674 0.23542217 0.23328322 0.23125122]","[21.19992266 21.19992266 21.19992266 21.19992266 21.19992266 21.19992266
 21.19992266 21.19992266 21.19992266 21.19992266 13.99554766 14.59591224
 15.10391305 15.5393423  15.91671433 16.24691485 16.53826825 16.79724905
 17.02896871 17.23751641 17.42620242 17.59773516 17.75435201 17.89791745
 18.02999766 18.15191785 18.26480692 18.36963248 18.4672287  18.5583185
 18.64353153 18.72341876 18.79846433 18.86909546 18.93569052 18.99858586
 19.05808145 19.11444569 19.16791946 19.21871954]"
"[0.15200309 0.15200309 1.20864476 0.94448434 0.78598809 0.68032393
 0.60484952 0.54824372 0.50421698 0.46899559 0.44017809 0.68032393
 0.63968386 0.60484952 0.57465976 0.54824372 0.52493545 0.50421698
 0.48567941 0.46899559 0.45390071 0.58426559 0.56547157 0.54824372
 0.53239409 0.51776367 0.50421698 0.49163792 0.47992637 0.46899559
 0.45877003 0.44918356 0.44017809 0.52493545 0.51428024 0.50421698
 0.49469769 0.48567941 0.47712361 0.46899559]","[21.19992266 21.19992266 -5.21611901  1.3878914   5.35029766  7.99190182
  9.87876194 11.29390703 12.39457544 13.27511016 13.99554766  7.99190182
  9.00790343  9.87876194 10.63350599 11.29390703 11.87661384 12.39457544
 12.85801477 13.27511016 13.65248218 10.39336016 10.8632107  11.29390703
 11.69014766 12.05590824 12.39457544 12.70905212 13.00184076 13.27511016
 13.53074927 13.77041094 13.99554766 11.87661384 12.14299409 12.39457544
 12.6325578  12.85801477 13.07190984 13.27511016]"
"[0.15200309 0.15200309 0.15200309 0.15200309 0.15200309 0.15200309
 0.15200309 0.15200309 0.50421698 0.78598809 0.72835309 0.68032393
 0.63968386 0.60484952 0.57465976 0.54824372 0.52493545 0.50421698
 0.48567941 0.46899559 0.45390071 0.44017809 0.42764875 0.41616351
 0.53239409 0.51776367 0.50421698 0.49163792 0.47992637 0.46899559
 0.45877003 0.44918356 0.44017809 0.43170236 0.42371095 0.41616351
 0.40902404 0.40226033 0.39584348 0.38974747]","[21.19992266 21.19992266 21.19992266 21.19992266 21.19992266 21.19992266
 21.19992266 21.19992266 12.39457544  5.35029766  6.79117266  7.99190182
  9.00790343  9.87876194 10.63350599 11.29390703 11.87661384 12.39457544
 12.85801477 13.27511016 13.65248218 13.99554766 14.30878136 14.59591224
 11.69014766 12.05590824 12.39457544 12.70905212 13.00184076 13.27511016
 13.53074927 13.77041094 13.99554766 14.20744104 14.40722623 14.59591224
 14.77439901 14.94349174 15.10391305 15.25631329]"
"[0.15200309 0.15200309 0.15200309 0.15200309 0.15200309 0.15200309
 0.15200309 0.15200309 0.15200309 0.15200309 0.15200309 0.15200309
 0.15200309 0.15200309 0.15200309 0.15200309 0.15200309 0.15200309
 0.15200309 0.15200309 0.3029519  0.29609059 0.28982592 0.2840833
 0.27880009 0.27392329 0.26940772 0.2652147  0.26131085 0.25766726
 0.25425874 0.25106325 0.24806143 0.24523618 0.24257238 0.32811004
 0.32335039 0.31884125 0.31456335 0.31049934]","[21.19992266 21.19992266 21.19992266 21.19992266 21.19992266 21.19992266
 21.19992266 21.19992266 21.19992266 21.19992266 21.19992266 21.19992266
 21.19992266 21.19992266 21.19992266 21.19992266 21.19992266 21.19992266
 21.19992266 21.19992266 17.42620242 17.59773516 17.75435201 17.89791745
 18.02999766 18.15191785 18.26480692 18.36963248 18.4672287  18.5583185
 18.64353153 18.72341876 18.79846433 18.86909546 18.93569052 16.79724905
 16.91624023 17.02896871 17.13591625 17.23751641]"
"[0.15200309 0.15200309 0.15200309 0.15200309 0.15200309 0.15200309
 0.15200309 0.15200309 0.15200309 0.15200309 0.15200309 0.15200309
 0.15200309 0.15200309 0.15200309 0.15200309 0.15200309 0.15200309
 0.15200309 0.15200309 0.15200309 0.15200309 0.15200309 0.15200309
 0.15200309 0.15200309 0.15200309 0.15200309 0.15200309 0.25766726
 0.25425874 0.25106325 0.24806143 0.24523618 0.24257238 0.24005657
 0.23767674 0.23542217 0.23328322 0.23125122]","[21.19992266 21.19992266 21.19992266 21.19992266 21.19992266 21.19992266
 21.19992266 21.19992266 21.19992266 21.19992266 21.19992266 21.19992266
 21.19992266 21.19992266 21.19992266 21.19992266 21.19992266 21.19992266
 21.19992266 21.19992266 21.19992266 21.19992266 21.19992266 21.19992266
 21.19992266 21.19992266 21.19992266 21.19992266 21.19992266 18.5583185
 18.64353153 18.72341876 18.79846433 18.86909546 18.93569052 18.99858586
 19.05808145 19.11444569 19.16791946 19.21871954]"
"[0.15200309 0.15200309 1.20864476 0.94448434 0.78598809 0.68032393
 0.60484952 0.54824372 0.50421698 0.46899559 0.44017809 0.41616351
 0.39584348 0.37842631 0.36333143 0.35012341 0.33846927 0.32811004
 0.31884125 0.31049934 0.3029519  0.29609059 0.28982592 0.2840833
 0.27880009 0.27392329 0.26940772 0.2652147  0.26131085 0.25766726
 0.25425874 0.25106325 0.24806143 0.24523618 0.24257238 0.24005657
 0.23767674 0.31884125 0.31456335 0.31049934]","[21.19992266 21.19992266 -5.21611901  1.3878914   5.35029766  7.99190182
  9.87876194 11.29390703 12.39457544 13.27511016 13.99554766 14.59591224
 15.10391305 15.5393423  15.91671433 16.24691485 16.53826825 16.79724905
 17.02896871 17.23751641 17.42620242 17.59773516 17.75435201 17.89791745
 18.02999766 18.15191785 18.26480692 18.36963248 18.4672287  18.5583185
 18.64353153 18.72341876 18.79846433 18.86909546 18.93569052 18.99858586
 19.05808145 17.02896871 17.13591625 17.23751641]"
"[0.15200309 0.15200309 0.15200309 0.15200309 0.15200309 0.15200309
 0.60484952 0.54824372 0.50421698 0.46899559 0.44017809 0.41616351
 0.39584348 0.37842631 0.36333143 0.35012341 0.33846927 0.32811004
 0.31884125 0.31049934 0.3029519  0.29609059 0.28982592 0.2840833
 0.27880009 0.27392329 0.26940772 0.2652147  0.26131085 0.25766726
 0.25425874 0.25106325 0.24806143 0.24523618 0.24257238 0.24005657
 0.23767674 0.31884125 0.31456335 0.31049934]","[21.19992266 21.19992266 21.19992266 21.19992266 21.19992266 21.19992266
  9.87876194 11.29390703 12.39457544 13.27511016 13.99554766 14.59591224
 15.10391305 15.5393423  15.91671433 16.24691485 16.53826825 16.79724905
 17.02896871 17.23751641 17.42620242 17.59773516 17.75435201 17.89791745
 18.02999766 18.15191785 18.26480692 18.36963248 18.4672287  18.5583185
 18.64353153 18.72341876 18.79846433 18.86909546 18.93569052 18.99858586
 19.05808145 17.02896871 17.13591625 17.23751641]"
"[0.15200309 0.15200309 0.15200309 0.15200309 0.78598809 0.68032393
 0.60484952 0.54824372 0.85643087 0.78598809 0.72835309 0.68032393
 0.63968386 0.60484952 0.57465976 0.54824372 0.52493545 0.50421698
 0.48567941 0.46899559 0.45390071 0.58426559 0.56547157 0.54824372
 0.53239409 0.51776367 0.50421698 0.49163792 0.58923413 0.57465976
 0.56102567 0.54824372 0.53623643 0.52493545 0.51428024 0.50421698
 0.49469769 0.48567941 0.47712361 0.46899559]","[21.19992266 21.19992266 21.19992266 21.19992266  5.35029766  7.99190182
  9.87876194 11.29390703  3.58922821  5.35029766  6.79117266  7.99190182
  9.00790343  9.87876194 10.63350599 11.29390703 11.87661384 12.39457544
 12.85801477 13.27511016 13.65248218 10.39336016 10.8632107  11.29390703
 11.69014766 12.05590824 12.39457544 12.70905212 10.2691468  10.63350599
 10.97435814 11.29390703 11.59408933 11.87661384 12.14299409 12.39457544
 12.6325578  12.85801477 13.07190984 13.27511016]"
